2020/11/08 04:52:48,523 [DEBUG]  [org.springframework.core.env.PropertySourcesPropertyResolver] [main]- Found key 'spring.liveBeansView.mbeanDomain' in PropertySource 'systemProperties' with value of type String
 -2020/11/08 04:52:48,537 [INFO ]  [org.springframework.boot.StartupInfoLogger] [main]- Started WmcWebApplication in 1.25 seconds (JVM running for 2.055)
 -2020/11/08 04:52:48,800 [DEBUG]  [org.springframework.core.env.PropertySourcesPropertyResolver] [RMI TCP Connection(2)-192.168.42.193]- Found key 'local.server.port' in PropertySource 'server.ports' with value of type Integer
 -2020/11/08 04:52:52,349 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [http-nio-8080-exec-1]- Initializing Spring DispatcherServlet 'dispatcherServlet'
 -2020/11/08 04:52:52,350 [INFO ]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-8080-exec-1]- Initializing Servlet 'dispatcherServlet'
 -2020/11/08 04:52:52,350 [DEBUG]  [org.springframework.web.servlet.DispatcherServlet] [http-nio-8080-exec-1]- Detected StandardServletMultipartResolver
 -2020/11/08 04:52:52,355 [DEBUG]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-8080-exec-1]- enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data
 -2020/11/08 04:52:52,355 [INFO ]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-8080-exec-1]- Completed initialization in 5 ms
 -2020/11/08 04:52:52,362 [DEBUG]  [org.springframework.core.log.LogFormatUtils] [http-nio-8080-exec-1]- GET "/dues?dateCode=D&startDate=20200930&endDate=20201003", parameters={masked}
 -2020/11/08 04:52:52,365 [DEBUG]  [org.springframework.web.servlet.handler.AbstractHandlerMapping] [http-nio-8080-exec-1]- Mapped to com.wmc.WMCWeb.dues.controller.DuesController#getDue(Map)
 -2020/11/08 04:52:53,269 [DEBUG]  [org.springframework.web.servlet.mvc.method.annotation.AbstractMessageConverterMethodProcessor] [http-nio-8080-exec-1]- Using 'application/json;q=0.8', given [text/html, application/xhtml+xml, image/avif, image/webp, image/apng, application/xml;q=0.9, application/signed-exchange;v=b3;q=0.9, */*;q=0.8] and supported [application/json, application/*+json, application/json, application/*+json]
 -2020/11/08 04:52:53,269 [DEBUG]  [org.springframework.core.log.LogFormatUtils] [http-nio-8080-exec-1]- Writing [[com.wmc.WMCWeb.dues.domain.Dues@56150d5e]]
 -2020/11/08 04:52:53,309 [DEBUG]  [org.springframework.web.servlet.FrameworkServlet] [http-nio-8080-exec-1]- Completed 200 OK
 -
